sheet,cell,row,col,formula_a1,formula_r1c1,value_if_any
Gastos Generales,Z76,76,26,=+Z14-Z63-Z70-Z72-Z74,=+R[-62]C-R[-13]C-R[-6]C-R[-4]C-R[-2]C,=+Z14-Z63-Z70-Z72-Z74
Gastos Generales,AB76,76,28,=+AB14-AB63-AB70-AB72-AB74,=+R[-62]C-R[-13]C-R[-6]C-R[-4]C-R[-2]C,=+AB14-AB63-AB70-AB72-AB74
Gastos Generales,AD76,76,30,=+AD14-AD63-AD70-AD72-AD74,=+R[-62]C-R[-13]C-R[-6]C-R[-4]C-R[-2]C,=+AD14-AD63-AD70-AD72-AD74
Gastos Generales,AE76,76,31,=+AE14-AE63-AE70-AE72-AE74,=+R[-62]C-R[-13]C-R[-6]C-R[-4]C-R[-2]C,=+AE14-AE63-AE70-AE72-AE74
Gastos Generales,AB78,78,28,=DN!AB19+Comités!AB33+Eventos!AB68+#REF!+Dirección!AB29+'Gastos Generales'!AB76,=R[-59]CR[-45]CR[-10]C+#REF!R[-49]C+R[-2]C,=DN!AB19+Comités!AB33+Eventos!AB68+#REF!+Dirección!AB29+'Gastos Generales'!AB76
Gastos Generales,AB79,79,28,=AB78-RESUMEN!D37,=R[-42]C[-24],=AB78-RESUMEN!D37
PPvsREal,D4,4,4,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!D:D)","=SUMIF(DN!$B:R4C3,DN!D:D)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!D:D)"
PPvsREal,E4,4,5,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!E:E)","=SUMIF(DN!$B:R4C3,DN!E:E)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!E:E)"
PPvsREal,F4,4,6,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!F:F)","=SUMIF(DN!$B:R4C3,DN!F:F)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!F:F)"
PPvsREal,G4,4,7,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!G:G)","=SUMIF(DN!$B:R4C3,DN!G:G)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!G:G)"
PPvsREal,H4,4,8,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!H:H)","=SUMIF(DN!$B:R4C3,DN!H:H)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!H:H)"
PPvsREal,I4,4,9,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!I:I)","=SUMIF(DN!$B:R4C3,DN!I:I)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!I:I)"
PPvsREal,J4,4,10,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!J:J)","=SUMIF(DN!$B:R4C3,DN!J:J)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!J:J)"
PPvsREal,K4,4,11,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!K:K)","=SUMIF(DN!$B:R4C3,DN!K:K)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!K:K)"
PPvsREal,L4,4,12,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!L:L)","=SUMIF(DN!$B:R4C3,DN!L:L)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!L:L)"
PPvsREal,M4,4,13,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!M:M)","=SUMIF(DN!$B:R4C3,DN!M:M)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!M:M)"
PPvsREal,N4,4,14,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!N:N)","=SUMIF(DN!$B:R4C3,DN!N:N)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!N:N)"
PPvsREal,O4,4,15,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!O:O)","=SUMIF(DN!$B:R4C3,DN!O:O)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!O:O)"
PPvsREal,P4,4,16,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!P:P)","=SUMIF(DN!$B:R4C3,DN!P:P)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!P:P)"
PPvsREal,Q4,4,17,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!Q:Q)","=SUMIF(DN!$B:R4C3,DN!Q:Q)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!Q:Q)"
PPvsREal,R4,4,18,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!R:R)","=SUMIF(DN!$B:R4C3,DN!R:R)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!R:R)"
PPvsREal,S4,4,19,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!S:S)","=SUMIF(DN!$B:R4C3,DN!S:S)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!S:S)"
PPvsREal,T4,4,20,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!T:T)","=SUMIF(DN!$B:R4C3,DN!T:T)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!T:T)"
PPvsREal,U4,4,21,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!U:U)","=SUMIF(DN!$B:R4C3,DN!U:U)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!U:U)"
PPvsREal,V4,4,22,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!V:V)","=SUMIF(DN!$B:R4C3,DN!V:V)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!V:V)"
PPvsREal,W4,4,23,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!W:W)","=SUMIF(DN!$B:R4C3,DN!W:W)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!W:W)"
PPvsREal,X4,4,24,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!X:X)","=SUMIF(DN!$B:R4C3,DN!X:X)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!X:X)"
PPvsREal,Y4,4,25,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!Y:Y)","=SUMIF(DN!$B:R4C3,DN!Y:Y)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!Y:Y)"
PPvsREal,Z4,4,26,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!Z:Z)","=SUMIF(DN!$B:R4C3,DN!Z:Z)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!Z:Z)"
PPvsREal,AA4,4,27,"=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!AA:AA)","=SUMIF(DN!$B:R4C3,DN!AA:AA)","=SUMIF(DN!$B:$B,PPvsREal!$C$4,DN!AA:AA)"
PPvsREal,D5,5,4,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!D:D)","=SUMIF(DN!$B:R5C3,DN!D:D)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!D:D)"
PPvsREal,E5,5,5,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!E:E)","=SUMIF(DN!$B:R5C3,DN!E:E)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!E:E)"
PPvsREal,F5,5,6,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!F:F)","=SUMIF(DN!$B:R5C3,DN!F:F)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!F:F)"
PPvsREal,G5,5,7,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!G:G)","=SUMIF(DN!$B:R5C3,DN!G:G)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!G:G)"
PPvsREal,H5,5,8,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!H:H)","=SUMIF(DN!$B:R5C3,DN!H:H)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!H:H)"
PPvsREal,I5,5,9,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!I:I)","=SUMIF(DN!$B:R5C3,DN!I:I)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!I:I)"
PPvsREal,J5,5,10,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!J:J)","=SUMIF(DN!$B:R5C3,DN!J:J)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!J:J)"
PPvsREal,K5,5,11,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!K:K)","=SUMIF(DN!$B:R5C3,DN!K:K)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!K:K)"
PPvsREal,L5,5,12,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!L:L)","=SUMIF(DN!$B:R5C3,DN!L:L)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!L:L)"
PPvsREal,M5,5,13,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!M:M)","=SUMIF(DN!$B:R5C3,DN!M:M)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!M:M)"
PPvsREal,N5,5,14,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!N:N)","=SUMIF(DN!$B:R5C3,DN!N:N)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!N:N)"
PPvsREal,O5,5,15,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!O:O)","=SUMIF(DN!$B:R5C3,DN!O:O)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!O:O)"
PPvsREal,P5,5,16,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!P:P)","=SUMIF(DN!$B:R5C3,DN!P:P)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!P:P)"
PPvsREal,Q5,5,17,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!Q:Q)","=SUMIF(DN!$B:R5C3,DN!Q:Q)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!Q:Q)"
PPvsREal,R5,5,18,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!R:R)","=SUMIF(DN!$B:R5C3,DN!R:R)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!R:R)"
PPvsREal,S5,5,19,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!S:S)","=SUMIF(DN!$B:R5C3,DN!S:S)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!S:S)"
PPvsREal,T5,5,20,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!T:T)","=SUMIF(DN!$B:R5C3,DN!T:T)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!T:T)"
PPvsREal,U5,5,21,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!U:U)","=SUMIF(DN!$B:R5C3,DN!U:U)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!U:U)"
PPvsREal,V5,5,22,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!V:V)","=SUMIF(DN!$B:R5C3,DN!V:V)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!V:V)"
PPvsREal,W5,5,23,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!W:W)","=SUMIF(DN!$B:R5C3,DN!W:W)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!W:W)"
PPvsREal,X5,5,24,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!X:X)","=SUMIF(DN!$B:R5C3,DN!X:X)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!X:X)"
PPvsREal,Y5,5,25,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!Y:Y)","=SUMIF(DN!$B:R5C3,DN!Y:Y)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!Y:Y)"
PPvsREal,Z5,5,26,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!Z:Z)","=SUMIF(DN!$B:R5C3,DN!Z:Z)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!Z:Z)"
PPvsREal,AA5,5,27,"=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!AA:AA)","=SUMIF(DN!$B:R5C3,DN!AA:AA)","=SUMIF(DN!$B:$B,PPvsREal!$C$5,DN!AA:AA)"
PPvsREal,D6,6,4,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!D:D)","=SUMIF(DN!$B:R6C3,DN!D:D)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!D:D)"
PPvsREal,E6,6,5,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!E:E)","=SUMIF(DN!$B:R6C3,DN!E:E)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!E:E)"
PPvsREal,F6,6,6,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!F:F)","=SUMIF(DN!$B:R6C3,DN!F:F)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!F:F)"
PPvsREal,G6,6,7,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!G:G)","=SUMIF(DN!$B:R6C3,DN!G:G)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!G:G)"
PPvsREal,H6,6,8,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!H:H)","=SUMIF(DN!$B:R6C3,DN!H:H)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!H:H)"
PPvsREal,I6,6,9,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!I:I)","=SUMIF(DN!$B:R6C3,DN!I:I)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!I:I)"
PPvsREal,J6,6,10,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!J:J)","=SUMIF(DN!$B:R6C3,DN!J:J)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!J:J)"
PPvsREal,K6,6,11,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!K:K)","=SUMIF(DN!$B:R6C3,DN!K:K)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!K:K)"
PPvsREal,L6,6,12,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!L:L)","=SUMIF(DN!$B:R6C3,DN!L:L)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!L:L)"
PPvsREal,M6,6,13,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!M:M)","=SUMIF(DN!$B:R6C3,DN!M:M)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!M:M)"
PPvsREal,N6,6,14,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!N:N)","=SUMIF(DN!$B:R6C3,DN!N:N)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!N:N)"
PPvsREal,O6,6,15,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!O:O)","=SUMIF(DN!$B:R6C3,DN!O:O)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!O:O)"
PPvsREal,P6,6,16,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!P:P)","=SUMIF(DN!$B:R6C3,DN!P:P)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!P:P)"
PPvsREal,Q6,6,17,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!Q:Q)","=SUMIF(DN!$B:R6C3,DN!Q:Q)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!Q:Q)"
PPvsREal,R6,6,18,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!R:R)","=SUMIF(DN!$B:R6C3,DN!R:R)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!R:R)"
PPvsREal,S6,6,19,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!S:S)","=SUMIF(DN!$B:R6C3,DN!S:S)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!S:S)"
PPvsREal,T6,6,20,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!T:T)","=SUMIF(DN!$B:R6C3,DN!T:T)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!T:T)"
PPvsREal,U6,6,21,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!U:U)","=SUMIF(DN!$B:R6C3,DN!U:U)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!U:U)"
PPvsREal,V6,6,22,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!V:V)","=SUMIF(DN!$B:R6C3,DN!V:V)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!V:V)"
PPvsREal,W6,6,23,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!W:W)","=SUMIF(DN!$B:R6C3,DN!W:W)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!W:W)"
PPvsREal,X6,6,24,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!X:X)","=SUMIF(DN!$B:R6C3,DN!X:X)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!X:X)"
PPvsREal,Y6,6,25,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!Y:Y)","=SUMIF(DN!$B:R6C3,DN!Y:Y)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!Y:Y)"
PPvsREal,Z6,6,26,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!Z:Z)","=SUMIF(DN!$B:R6C3,DN!Z:Z)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!Z:Z)"
PPvsREal,AA6,6,27,"=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!AA:AA)","=SUMIF(DN!$B:R6C3,DN!AA:AA)","=SUMIF(DN!$B:$B,PPvsREal!$C$6,DN!AA:AA)"
PPvsREal,D7,7,4,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!D:D)","=SUMIF(DN!$B:R7C3,DN!D:D)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!D:D)"
PPvsREal,E7,7,5,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!E:E)","=SUMIF(DN!$B:R7C3,DN!E:E)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!E:E)"
PPvsREal,F7,7,6,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!F:F)","=SUMIF(DN!$B:R7C3,DN!F:F)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!F:F)"
PPvsREal,G7,7,7,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!G:G)","=SUMIF(DN!$B:R7C3,DN!G:G)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!G:G)"
PPvsREal,H7,7,8,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!H:H)","=SUMIF(DN!$B:R7C3,DN!H:H)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!H:H)"
PPvsREal,I7,7,9,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!I:I)","=SUMIF(DN!$B:R7C3,DN!I:I)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!I:I)"
PPvsREal,J7,7,10,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!J:J)","=SUMIF(DN!$B:R7C3,DN!J:J)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!J:J)"
PPvsREal,K7,7,11,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!K:K)","=SUMIF(DN!$B:R7C3,DN!K:K)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!K:K)"
PPvsREal,L7,7,12,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!L:L)","=SUMIF(DN!$B:R7C3,DN!L:L)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!L:L)"
PPvsREal,M7,7,13,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!M:M)","=SUMIF(DN!$B:R7C3,DN!M:M)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!M:M)"
PPvsREal,N7,7,14,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!N:N)","=SUMIF(DN!$B:R7C3,DN!N:N)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!N:N)"
PPvsREal,O7,7,15,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!O:O)","=SUMIF(DN!$B:R7C3,DN!O:O)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!O:O)"
PPvsREal,P7,7,16,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!P:P)","=SUMIF(DN!$B:R7C3,DN!P:P)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!P:P)"
PPvsREal,Q7,7,17,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!Q:Q)","=SUMIF(DN!$B:R7C3,DN!Q:Q)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!Q:Q)"
PPvsREal,R7,7,18,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!R:R)","=SUMIF(DN!$B:R7C3,DN!R:R)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!R:R)"
PPvsREal,S7,7,19,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!S:S)","=SUMIF(DN!$B:R7C3,DN!S:S)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!S:S)"
PPvsREal,T7,7,20,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!T:T)","=SUMIF(DN!$B:R7C3,DN!T:T)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!T:T)"
PPvsREal,U7,7,21,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!U:U)","=SUMIF(DN!$B:R7C3,DN!U:U)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!U:U)"
PPvsREal,V7,7,22,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!V:V)","=SUMIF(DN!$B:R7C3,DN!V:V)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!V:V)"
PPvsREal,W7,7,23,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!W:W)","=SUMIF(DN!$B:R7C3,DN!W:W)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!W:W)"
PPvsREal,X7,7,24,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!X:X)","=SUMIF(DN!$B:R7C3,DN!X:X)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!X:X)"
PPvsREal,Y7,7,25,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!Y:Y)","=SUMIF(DN!$B:R7C3,DN!Y:Y)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!Y:Y)"
PPvsREal,Z7,7,26,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!Z:Z)","=SUMIF(DN!$B:R7C3,DN!Z:Z)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!Z:Z)"
PPvsREal,AA7,7,27,"=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!AA:AA)","=SUMIF(DN!$B:R7C3,DN!AA:AA)","=SUMIF(DN!$B:$B,PPvsREal!$C$7,DN!AA:AA)"
PPvsREal,D8,8,4,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!D:D)","=SUMIF(DN!$B:R8C3,DN!D:D)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!D:D)"
PPvsREal,E8,8,5,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!E:E)","=SUMIF(DN!$B:R8C3,DN!E:E)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!E:E)"
PPvsREal,F8,8,6,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!F:F)","=SUMIF(DN!$B:R8C3,DN!F:F)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!F:F)"
PPvsREal,G8,8,7,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!G:G)","=SUMIF(DN!$B:R8C3,DN!G:G)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!G:G)"
PPvsREal,H8,8,8,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!H:H)","=SUMIF(DN!$B:R8C3,DN!H:H)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!H:H)"
PPvsREal,I8,8,9,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!I:I)","=SUMIF(DN!$B:R8C3,DN!I:I)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!I:I)"
PPvsREal,J8,8,10,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!J:J)","=SUMIF(DN!$B:R8C3,DN!J:J)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!J:J)"
PPvsREal,K8,8,11,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!K:K)","=SUMIF(DN!$B:R8C3,DN!K:K)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!K:K)"
PPvsREal,L8,8,12,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!L:L)","=SUMIF(DN!$B:R8C3,DN!L:L)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!L:L)"
PPvsREal,M8,8,13,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!M:M)","=SUMIF(DN!$B:R8C3,DN!M:M)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!M:M)"
PPvsREal,N8,8,14,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!N:N)","=SUMIF(DN!$B:R8C3,DN!N:N)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!N:N)"
PPvsREal,O8,8,15,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!O:O)","=SUMIF(DN!$B:R8C3,DN!O:O)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!O:O)"
PPvsREal,P8,8,16,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!P:P)","=SUMIF(DN!$B:R8C3,DN!P:P)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!P:P)"
PPvsREal,Q8,8,17,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!Q:Q)","=SUMIF(DN!$B:R8C3,DN!Q:Q)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!Q:Q)"
PPvsREal,R8,8,18,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!R:R)","=SUMIF(DN!$B:R8C3,DN!R:R)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!R:R)"
PPvsREal,S8,8,19,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!S:S)","=SUMIF(DN!$B:R8C3,DN!S:S)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!S:S)"
PPvsREal,T8,8,20,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!T:T)","=SUMIF(DN!$B:R8C3,DN!T:T)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!T:T)"
PPvsREal,U8,8,21,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!U:U)","=SUMIF(DN!$B:R8C3,DN!U:U)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!U:U)"
PPvsREal,V8,8,22,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!V:V)","=SUMIF(DN!$B:R8C3,DN!V:V)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!V:V)"
PPvsREal,W8,8,23,"=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!W:W)","=SUMIF(DN!$B:R8C3,DN!W:W)","=SUMIF(DN!$B:$B,PPvsREal!$C$8,DN!W:W)"
